12-03,75.1,79.1,70.5,75.0,82.4,77.7,82.7,78.9,59.6,83.7,66.5,65.8,66.3
12-06,48.6,50.4,50.5,48.8,41.5,46.0,45.9,52.9,43.4,30.1,35.8,27.2,32.2
12-07,78.6,69.0,80.5,63.4,70.5,51.6,67.1,74.9,62.0,70.6,71.4,70.9,55.8
12-08,79.7,70.3,85.3,77.6,84.9,65.6,74.4,68.5,64.0,70.5,71.3,68.7,58.7
12-09,85.8,70.2,87.4,67.8,84.5,67.8,72.5,78.6,77.8,77.4,80.3,72.4,64.6
12-10,84.8,76.9,89.0,80.7,84.3,76.2,74.9,79.3,69.5,81.8,59.6,65.2,57.0
12-11,75.5,78.7,76.5,65.4,75.6,70.0,65.8,76.7,62.1,80.1,62.5,59.9,71.6
12-12,72.6,76.8,69.6,77.8,75.8,52.6,72.2,71.8,54.5,69.2,51.8,52.4,51.9
12-13,71.2,79.8,75.0,85.3,69.3,62.7,68.5,70.1,65.8,84.1,58.2,69.6,63.1
12-14,79.5,77.8,88.9,90.4,85.1,75.5,77.2,65.7,57.7,75.2,40.8,67.7,60.3
12-15,72.6,77.9,81.9,85.4,80.4,68.6,70.1,72.8,59.2,69.2,34.9,64.0,61.7
12-16,74.6,80.2,72.8,71.3,86.0,82.1,74.5,73.6,43.6,71.8,40.6,60.2,54.0
12-17,75.3,80.8,87.6,73.5,82.1,77.2,76.2,63.5,60.5,73.6,50.2,72.5,58.3
12-18,72.2,76.2,78.8,73.9,75.8,63.0,70.7,65.6,58.0,72.9,61.7,73.6,61.1
12-19,75.8,56.7,60.1,60.8,64.4,65.5,71.3,59.6,57.6,72.5,60.5,67.0,56.0
12-20,73.8,67.7,64.6,79.4,71.4,73.1,67.1,57.8,49.0,81.3,50.2,72.2,55.4
12-21,66.2,62.1,77.0,74.3,66.1,55.0,62.2,75.7,46.4,69.1,62.0,72.9,59.3
12-22,63.1,68.6,73.4,64.3,66.3,76.1,64.2,70.5,64.6,63.3,59.9,6.8,77.0
12-23,76.4,72.0,79.1,79.6,82.9,76.5,68.1,70.3,66.2,75.0,57.0,20.2,68.3
12-24,83.3,77.5,81.5,75.7,80.2,72.5,66.1,63.5,60.7,82.5,59.7,68.6,77.2
12-25,65.2,66.8,73.5,62.8,72.2,80.5,69.4,59.2,49.3,67.7,51.2,80.6,63.2
12-26,71.0,70.3,83.2,71.3,68.2,79.4,68.5,74.8,61.1,61.9,71.0,80.1,72.3
12-27,86.4,84.6,84.3,83.0,80.4,81.5,86.9,81.5,78.8,52.5,59.9,75.3,75.8
12-28,89.7,89.2,93.3,89.4,87.5,92.4,83.7,80.2,87.0,72.9,61.1,84.6,85.4
12-29,91.0,86.2,91.2,88.1,87.4,84.6,81.7,75.2,89.5,81.3,62.6,91.1,93.5
12-30,88.0,90.7,88.7,83.4,84.1,87.7,78.3,83.9,86.4,76.7,68.5,80.5,81.2
12-31,78.0,80.8,85.2,85.1,85.5,85.6,71.8,78.3,81.9,66.8,72.7,79.8,79.0
01-01,86.4,76.4,81.6,86.1,85.0,76.6,79.1,85.2,79.8,73.6,75.0,81.6,88.2
01-02,89.3,75.6,87.9,84.6,85.4,81.0,75.5,85.8,82.4,76.0,68.5,84.5,86.1
01-03,80.4,82.8,89.4,82.0,83.2,79.1,80.4,82.1,77.4,73.7,56.7,79.2,85.5
01-04,86.5,71.4,84.0,83.6,84.9,75.8,78.3,66.2,75.9,64.2,34.2,62.3,79.6
01-05,72.1,70.0,84.2,79.8,74.1,70.8,68.7,65.0,44.6,62.4,17.5,39.9,73.0
01-06,83.1,74.8,89.7,73.8,77.1,74.7,83.8,72.0,61.5,79.5,55.1,81.0,85.3
01-07,83.0,75.5,83.8,79.5,75.0,78.1,76.4,76.6,70.6,77.1,73.5,83.2,83.1
01-08,85.9,82.4,83.1,84.8,74.8,74.1,77.1,89.9,31.5,85.7,80.3,83.9,87.6
01-09,84.5,81.2,83.6,83.1,75.1,72.3,84.2,86.1,3.9,60.8,57.2,32.7,85.2
01-10,88.2,78.9,82.7,80.1,76.5,76.2,84.3,13.0,32.2,42.7,49.5,69.2,22.9
01-11,83.7,84.4,79.5,80.1,78.0,69.6,81.7,0.0,28.0,55.5,60.4,64.5,3.7
01-12,85.3,72.9,86.0,84.0,78.7,72.5,78.1,34.5,44.2,86.4,40.9,37.7,48.7
01-13,88.1,46.9,81.2,81.7,85.4,71.3,79.5,15.4,58.0,60.6,53.9,66.7,79.8
01-14,36.4,28.0,61.8,52.8,54.0,52.1,58.5,65.5,67.8,45.0,43.7,54.5,53.5
01-15,26.0,67.3,76.5,75.5,75.5,55.3,59.8,86.0,81.1,60.5,24.6,80.9,78.5
01-16,84.3,86.4,84.7,78.6,69.4,63.8,59.0,82.4,55.5,71.8,0.0,83.8,92.1
01-17,81.5,80.2,79.3,75.9,65.4,56.0,69.5,72.6,66.1,67.4,25.7,81.0,53.0
01-18,89.2,83.0,84.1,84.9,82.0,61.8,79.8,75.5,74.8,66.9,79.0,73.3,80.0
01-19,76.3,79.3,75.7,54.4,72.5,79.4,64.4,71.0,75.3,64.6,60.5,65.8,85.3
01-20,70.9,70.8,70.3,72.2,55.7,61.2,60.1,75.0,76.4,75.8,85.1,74.1,83.8
01-21,83.7,87.5,80.5,79.6,80.6,80.0,85.6,82.2,78.8,69.8,86.8,84.3,87.8
01-22,52.1,57.2,48.3,46.1,54.1,59.4,39.8,68.0,77.1,87.1,86.8,70.4,77.7
01-23,73.5,80.0,75.6,70.5,74.9,67.6,72.9,79.0,88.7,93.0,86.7,83.4,92.7
